	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_unspliced	initial_size_spliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_B10	0	297683.0	10831	1	2	2	236739.0	9782	297683.0	10831	236739.0	297683.0	297683.0	213713.16580725132	0.23384923	79.31	0.608444428846654	0.5469793236842659	0	0.00034673462613678046	0.0064843089333605376	0.4634816348552704	0.732304166027934
HEK293T_B11	0	189429.0	10100	2	0	0	139433.0	8906	189429.0	10100	139433.0	189429.0	189429.0	212122.06512202462	0.25745845	62.7	0.9510859265057667	0.48545032804114235	0	3.589210302699117e-07	0.003504463208625624	0.9084968566894531	0.9212023086753923
HEK293T_B12	0	247329.0	10339	1	4	4	154441.0	9222	247329.0	10339	154441.0	247329.0	247329.0	213240.65228096987	0.36609423	61.06	0.8275510576796978	0.41414223617096096	0	5.624915389418694e-06	0.0008058766652506196	0.403747022151947	0.7419477614038931
HEK293T_B13	0	154786.0	9343	3	1	1	70518.0	7846	154786.0	9343	70518.0	154786.0	154786.0	213248.9224929903	0.05567211	79.09	0.9288281181101793	0.7064717376401288	0	0.019574698177537347	0.000490810156797871	0.2547542154788971	0.5296156644319309
HEK293T_B14	0	191779.0	9801	1	1	1	146313.0	8944	191779.0	9801	146313.0	191779.0	191779.0	213929.6580908233	0.0693267	70.87	0.9040635835579247	0.7248247371071258	0	6.718193652585279e-06	0.0004994207363349542	0.33858707547187805	0.5876123073293377
HEK293T_B15	0	371663.0	10914	3	3	3	214283.0	9680	371663.0	10914	214283.0	371663.0	371663.0	212469.51009113094	0.789718	76.79	0.9808589833564926	-0.3589288571827796	0	0.0	0.9994493651740491	0.9791388511657715	0.9712371234645735
HEK293T_B16	0	234322.0	10265	3	3	3	116407.0	8888	234322.0	10265	116407.0	234322.0	234322.0	212224.1485861336	0.44109833	77.67	0.9871331843312646	0.33431534174555627	0	1.347084399801946e-08	0.9954385024948244	0.9853923916816711	0.9892742940465772
HEK293T_B17	0	215326.0	10199	1	4	4	139749.0	9084	215326.0	10199	139749.0	215326.0	215326.0	213653.09361619127	0.28045768	58.13	0.8419625974796956	0.4825959608781315	0	1.8924631029288575e-06	0.0006133228199207778	0.4040628969669342	0.7313479275976429
HEK293T_B18	0	172709.0	9419	3	1	1	78888.0	7980	172709.0	9419	78888.0	172709.0	172709.0	213264.18511484636	0.14637208	67.19	0.9073865400205353	0.6330262889271857	0	3.6495250665495817e-06	0.0005193998824006318	0.35781925916671753	0.64249531047119
HEK293T_B19	0	160039.0	8972	1	1	1	87807.0	7843	160039.0	8972	87807.0	160039.0	160039.0	214403.3400296178	0.108656645	70.09	0.9234494719561944	0.6816036885711886	0	5.2359510320182525e-06	0.00044571923965468116	0.3564644157886505	0.616311524358069
HEK293T_B20	0	328320.0	11262	3	2	2	248529.0	10075	328320.0	11262	248529.0	328320.0	328320.0	213372.54619883042	0.17515057	51.87	0.9679195178312442	0.5949461070345068	0	1.0	0.0	0.003798491321504116	0.0
