	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_spliced	initial_size_unspliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_A71	0	188147.0	9849	2	0	0	98884.0	8469	188147.0	9849	188147.0	98884.0	188147.0	211819.97379708418	0.29258972	74.2	0.90165933756317	0.48621641897514567	0	7.620919189795512e-08	0.015009768816606098	0.944364070892334	0.8802542839148768
HEK293T_A72	0	244515.0	10427	1	4	4	161336.0	9404	244515.0	10427	244515.0	161336.0	244515.0	212949.47988466965	0.5252798	47.61	0.8878289197619361	0.20515600048147836	0	3.2009208477803647e-06	0.0009411045679401227	0.4642755389213562	0.7977230739955905
HEK293T_A73	0	160085.0	9283	2	0	0	125260.0	8272	160085.0	9283	160085.0	125260.0	160085.0	210109.9680607178	0.32143405	64.13	0.9383948203018315	0.4228341142034398	0	1.3946593239018649e-06	0.002312793150535985	0.8904520273208618	0.8798151170661048
HEK293T_A74	0	189738.0	9866	2	0	0	87387.0	8218	189738.0	9866	189738.0	87387.0	189738.0	211625.22417227965	0.12787563	71.76	0.9248088951465351	0.6356117110103003	0	4.861344265033836e-08	0.01705737827041458	0.9615893959999084	0.9047440120686981
HEK293T_A75	0	305275.0	10514	3	2	2	176745.0	9312	305275.0	10514	305275.0	176745.0	305275.0	211927.4200802555	0.17491019	51.87	0.9679321395290446	0.5949631320506936	0	1.0	1.2186879585282131e-11	0.0004687545297201723	0.0
HEK293T_A76	0	315524.0	10723	3	3	3	217872.0	9748	315524.0	10723	315524.0	217872.0	315524.0	210851.5591428861	0.19738913	81.2	0.9527177065454839	0.5794284124802076	0	5.192741593894781e-08	0.0875252849818526	0.9648604393005371	0.9579904928957372
HEK293T_A77	0	329468.0	10678	2	0	0	207911.0	9555	329468.0	10678	329468.0	207911.0	329468.0	212048.96992424148	0.28551036	69.57	0.9449593292260047	0.47902713975728717	0	6.442937713147371e-07	0.010448398075162358	0.9271640777587891	0.8845207648433784
HEK293T_A78	0	324211.0	11019	2	0	0	208431.0	9658	324211.0	11019	324211.0	208431.0	324211.0	211292.59743808815	0.118258774	81.51	0.9310469873116561	0.6682328732398165	0	3.622727658400913e-08	0.0752002768586688	0.9917015433311462	0.9576716195019127
HEK293T_A79	0	263788.0	10416	1	1	1	192268.0	9327	263788.0	10416	263788.0	192268.0	263788.0	212981.4103105524	0.06901139	70.87	0.8997779953252139	0.7263719617379464	0	0.000339221864827106	0.0007762182612062392	0.34935319423675537	0.5870498514973297
HEK293T_A80	0	203482.0	10370	1	0	0	190188.0	9525	203482.0	10370	203482.0	190188.0	203482.0	212370.36118182447	0.23790884	84.14	0.92179347815181	0.5332821798019806	0	4.556816472094917e-06	0.012295759817821165	0.8643665909767151	0.8920844803584191
HEK293T_A81	0	166406.0	9494	1	0	0	110909.0	8480	166406.0	9494	166406.0	110909.0	166406.0	212975.60961744166	0.389891	49.74	0.6546688630113465	0.3699458948429966	0	7.017557293830695e-06	0.0009724336747207264	0.7043320536613464	0.81894320724803
HEK293T_A82	0	176694.0	9651	3	2	2	73248.0	8029	176694.0	9651	176694.0	73248.0	176694.0	213470.10441780704	0.12298244	56.27	0.9785078744461356	0.6504573622580637	0	0.9205016485503822	8.93721238782248e-11	0.0068242778070271015	0.013479105251234429
HEK293T_B01	0	295233.0	10695	3	2	2	150349.0	9324	295233.0	10695	295233.0	150349.0	295233.0	215082.53385292293	0.17491019	51.87	0.9679321395290446	0.5949631312512684	0	1.0	1.2186879585282131e-11	0.02646745927631855	0.0
HEK293T_B02	0	209808.0	9787	3	1	1	159056.0	9141	209808.0	9787	209808.0	159056.0	209808.0	212445.89667696183	0.010795116	86.76	0.9322172759628145	0.7725086611324423	0	0.06100459152150828	0.0003493811303707672	0.10661563277244568	0.353416095870326
HEK293T_B03	0	259865.0	10432	3	2	2	193475.0	9227	259865.0	10432	259865.0	193475.0	259865.0	214003.81919842996	0.100693166	58.71	0.980543753000308	0.6725608860259443	0	0.9205016485503822	8.93721238782248e-11	0.006437953095883131	0.02091099412617535
HEK293T_B04	0	258852.0	10604	2	0	0	216546.0	9550	258852.0	10604	258852.0	216546.0	258852.0	211844.36084326176	0.25834638	64.77	0.9527844264459894	0.47814514943384495	0	1.279309531466572e-07	0.010453294425099303	0.9232079386711121	0.8620505725889464
